Date,Project,Classification_ID,Galaxy_Type,Confidence
2026-03-15,Galaxy Zoo,GZ_001,Smooth/Rounded,High
2026-03-15,Galaxy Zoo,GZ_002,Smooth/Cigar,High
2026-03-15,Galaxy Zoo,GZ_003,Disk/Edge-on,Medium
2026-03-16,Galaxy Zoo,GZ_010,Smooth/Rounded,High
2026-03-16,Galaxy Zoo,GZ_015,Merger/Disturbed,Low
2026-03-17,Galaxy Zoo,GZ_025,Disk/Spiral,Medium
2026-03-18,Galaxy Zoo,GZ_040,Smooth/Rounded,High
2026-03-19,Galaxy Zoo,GZ_055,Smooth/Rounded,High
2026-03-20,Galaxy Zoo,GZ_070,Disk/Edge-on,High
2026-03-21,Galaxy Zoo,GZ_085,Smooth/Cigar,High
2026-03-21,Galaxy Zoo,GZ_100,Merger/Disturbed,Medium
2026-03-21,Galaxy Zoo,GZ_101,Smooth/Rounded,High
2026-03-21,Galaxy Zoo,GZ_102,Disk/Edge-on,Medium
2026-03-21,Galaxy Zoo,GZ_103,Merger/Disturbed,High
2026-03-21,Galaxy Zoo,GZ_104,Smooth/Cigar,High
Date,Project,Classification_ID,Galaxy_Type,Confidence
2026-03-01,Galaxy Zoo,GZ_001,Smooth/Rounded,High
2026-03-01,Galaxy Zoo,GZ_002,Smooth/Cigar,High
2026-03-02,Galaxy Zoo,GZ_003,Disk/Edge-on,Medium
2026-03-02,Galaxy Zoo,GZ_004,Smooth/Rounded,High
2026-03-02,Galaxy Zoo,GZ_005,Smooth/Rounded,High
2026-03-03,Galaxy Zoo,GZ_006,Disk/Spiral,Medium
2026-03-03,Galaxy Zoo,GZ_007,Smooth/Rounded,High
2026-03-03,Galaxy Zoo,GZ_008,Smooth/Rounded,High
2026-03-04,Galaxy Zoo,GZ_009,Smooth/Cigar,High
2026-03-04,Galaxy Zoo,GZ_010,Smooth/Rounded,High
2026-03-04,Galaxy Zoo,GZ_011,Disk/Edge-on,High
2026-03-05,Galaxy Zoo,GZ_012,Smooth/Rounded,High
2026-03-05,Galaxy Zoo,GZ_013,Smooth/Rounded,High
2026-03-05,Galaxy Zoo,GZ_014,Merger/Disturbed,Low
2026-03-06,Galaxy Zoo,GZ_015,Smooth/Rounded,High
2026-03-06,Galaxy Zoo,GZ_016,Smooth/Cigar,High
2026-03-06,Galaxy Zoo,GZ_017,Disk/Spiral,Medium
2026-03-07,Galaxy Zoo,GZ_018,Smooth/Rounded,High
